Keyword,3 keywords,Common flags,changing flags
Paint,"paint, waste, related","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'hybrid_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, solid_flag, sludges_flag, flash_point_flag, boiling_point_flag, benzene_waste_flag, status_code_id, vendor_id, process_code_id, CustomerId, specialpricing_flag, rush_flag, intercompany_flag, urgent_flag, mgp_flag, national_flag, isRecertified"
Paint,"paint, waste, loosepack","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'boiling_point_flag': 0.0, 'benzene_waste_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'specialpricing_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, solid_flag, sludges_flag, flash_point_flag, status_code_id, vendor_id, process_code_id, CustomerId, rush_flag, urgent_flag, mgp_flag, isRecertified"
Paint,"paint, waste, solvent","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'benzene_waste_flag': 0.0, 'labpack_flag': 0.0, 'hybrid_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, solid_flag, sludges_flag, flash_point_flag, boiling_point_flag, status_code_id, vendor_id, process_code_id, CustomerId, directship_flag, specialpricing_flag, rush_flag, intercompany_flag, urgent_flag, mgp_flag, isRecertified"
Paint,"paint, waste, latex","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'solid_flag': 0.0, 'sludges_flag': 0.0, 'boiling_point_flag': 0.0, 'benzene_waste_flag': 0.0, 'labpack_flag': 0.0, 'specialpricing_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, flash_point_flag, status_code_id, vendor_id, process_code_id, CustomerId, directship_flag, rush_flag, urgent_flag, mgp_flag, national_flag, isRecertified"
Paint,"paint, waste, debris","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'boiling_point_flag': 0.0, 'benzene_waste_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'specialpricing_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, solid_flag, sludges_flag, flash_point_flag, status_code_id, vendor_id, process_code_id, CustomerId, rush_flag, urgent_flag, mgp_flag, isRecertified"
Paint,"paint, waste, cans","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'sludges_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'specialpricing_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'mgp_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0, 'isRecertified': 0}","halogens_flag, no_reactivity_flag, aerosol_flag, solid_flag, flash_point_flag, boiling_point_flag, benzene_waste_flag, status_code_id, vendor_id, process_code_id, CustomerId, rush_flag, urgent_flag"
Paint,"paint, waste, thinner","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'sludges_flag': 0.0, 'benzene_waste_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'specialpricing_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, nrc_regulated_radioactive_flag, no_reactivity_flag, solid_flag, flash_point_flag, boiling_point_flag, status_code_id, vendor_id, process_code_id, CustomerId, rush_flag, urgent_flag, mgp_flag, isRecertified"
Paint,"paint, waste, material","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'specialpricing_flag': 0.0, 'hybrid_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, solid_flag, sludges_flag, flash_point_flag, boiling_point_flag, benzene_waste_flag, status_code_id, vendor_id, process_code_id, CustomerId, rush_flag, intercompany_flag, urgent_flag, mgp_flag, national_flag, isRecertified"
Paint,"paint, waste, water","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'aerosol_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'sludges_flag': 0.0, 'benzene_waste_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'specialpricing_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, solid_flag, flash_point_flag, boiling_point_flag, status_code_id, vendor_id, process_code_id, CustomerId, rush_flag, urgent_flag, mgp_flag, isRecertified"
Paint,"paint, waste, universal","{'pcbs_flag': 0, 'cyanides_flag': 0.0, 'sulfides_flag': 0.0, 'pesticides_flag': 0.0, 'infectious_bio_waste_flag': 0.0, 'nrc_regulated_radioactive_flag': 0.0, 'pyrophoric_reactivity_flag': 0.0, 'cyanides_reactivity_flag': 0, 'sulfides_reactivity_flag': 0, 'water_reactivity_flag': 0, 'shock_reactivity_flag': 0, 'dot_explosive_flag': 0, 'gas_flag': 0.0, 'lab_pack_flag': 0, 'monolith_flag': 0.0, 'sludges_flag': 0.0, 'boiling_point_flag': 0.0, 'labpack_flag': 0.0, 'directship_flag': 0.0, 'intercompany_flag': 0.0, 'hybrid_flag': 0.0, 'national_flag': 0.0, 'naics_flag': 0.0}","halogens_flag, no_reactivity_flag, aerosol_flag, solid_flag, flash_point_flag, benzene_waste_flag, status_code_id, vendor_id, process_code_id, CustomerId, specialpricing_flag, rush_flag, urgent_flag, mgp_flag, isRecertified"
